Address,Settlement
13. kerület Rozsnyai utca 20.,13. kerület
2. kerület Pázsit utca,2. kerület
Budaörs Mező utca 10.,Budaörs
20. kerület Zamárdi utca,20. kerület
11. kerület Kánai út,11. kerület
1. kerület Alagút utca,1. kerület
14. kerület Jeszenák János utca,14. kerület
12. kerület Kléh István utca,12. kerület
5. kerület Hold utca 8.,5. kerület
13. kerület Váci út 10.,13. kerület
Dunakeszi Fóti út,Dunakeszi
2. kerület Orló utca 11.,2. kerület
2. kerület Kapy utca,2. kerület
23. kerület Tartsay utca 34.,23. kerület
22. kerület Galga utca,22. kerület
14. kerület Lőcsei út 62.,14. kerület
13. kerület Victor Hugo utca 35.,13. kerület
2. kerület Herman Ottó út,2. kerület
14. kerület Öv utca 135.,14. kerület
7. kerület Király utca 99.,7. kerület
12. kerület Kútvölgyi út 65.,12. kerület
Vác Deákvári főtér,Vác
18. kerület Havanna utca 76.,18. kerület
9. kerület Vaskapu utca 1.,9. kerület
9. kerület Haller utca 24.,9. kerület
3. kerület Bécsi út 95.,3. kerület
8. kerület Horánszky utca 4.,8. kerület
19. kerület Kós Károly tér,19. kerület
18. kerület Tövishát utca,18. kerület
1. kerület Batthyány utca 28.,1. kerület
11. kerület Major utca,11. kerület
7. kerület Almássy utca 8.,7. kerület
12. kerület Győri út 14.,12. kerület
14. kerület Kassai tér 12.,14. kerület
12. kerület Hóvirág út,12. kerület
3. kerület Pusztakúti út 10.,3. kerület
12. kerület Határőr út 21/b.,12. kerület
9. kerület Nagyvárad tér 1.,9. kerület
Biatorbágy Hámory Imre utca,Biatorbágy
Dunakeszi Iskola utca,Dunakeszi
6. kerület Hajós utca,6. kerület
11. kerület Fehérvári út 194.,11. kerület
14. kerület Szitakötő utca 3.,14. kerület
2. kerület Vöröstorony utca,2. kerület
7. kerület Thököly út 14.,7. kerület
4. kerület József Attila utca,4. kerület
7. kerület Dohány utca 54.,7. kerület
5. kerület Ferenciek tere 4.,5. kerület
14. kerület Bölcsőde utca 2.,14. kerület
3. kerület Toboz utca,3. kerület
3. kerület Remetehegyi út 29.,3. kerület
7. kerület Wesselényi utca 35.,7. kerület
6. kerület Kmety György utca 22.,6. kerület
13. kerület Szent László út 35.,13. kerület
12. kerület Csörsz utca 1.,12. kerület
22. kerület Gyöngyszem utca,22. kerület
3. kerület Nánási út 83.,3. kerület
3. kerület Palicsi utca,3. kerület
4. kerület Chinoin utca 32.,4. kerület
4. kerület Erzsébet utca 7.,4. kerület
9. kerület Epreserdő utca,9. kerület
Göd Termálfürdő körút,Göd
Göd Nyár utca,Göd
1. kerület Dísz tér,1. kerület
13. kerület Radnóti Miklós utca 25.,13. kerület
Vác Nagymező utca 6.,Vác
11. kerület Ercsi út 1.,11. kerület
13. kerület Tisza utca 18.,13. kerület
12. kerület Brassai Sámuel utca,12. kerület
2. kerület Varsányi Irén utca 38.,2. kerület
Dunakeszi Széchenyi utca,Dunakeszi
22. kerület Háros utca 47-49,22. kerület
1. kerület Széna tér 1.,1. kerület
6. kerület Teréz körút 45.,6. kerület
3. kerület Mátyás király út 106.,3. kerület
Szentendre Dózsa György út 17.,Szentendre
16. kerület Ballada utca 40.,16. kerület
Szigetszentmiklós Erdősor utca,Szigetszentmiklós
11. kerület Karcag utca 55.,11. kerület
Szentendre Dózsa György út,Szentendre
22. kerület Tatárka utca 27.,22. kerület
3. kerület Pacsirtamező utca,3. kerület
8. kerület Hungária körút 12.,8. kerület
14. kerület Újvilág utca 43-45.,14. kerület
2. kerület Toldi Miklós utca,2. kerület
14. kerület Gyarmat utca 38b,14. kerület
Dunakeszi Budai Nagy Antal köz,Dunakeszi
4. kerület Tóth Aladár utca,4. kerület
14. kerület Gyarmat utca 1.,14. kerület
14. kerület Lengyel utca 32.,14. kerület
2. kerület Törökvész út,2. kerület
22. kerület Batthyány utca,22. kerület
16. kerület Pilóta utca,16. kerület
12. kerület Határőr út 22.,12. kerület
22. kerület Promontor utca 4.,22. kerület
Érd Kutyavári utca,Érd
1. kerület Orom utca,1. kerület
2. kerület Zivatar utca,2. kerület
14. kerület Szilágysomlyó utca,14. kerület
5. kerület Vécsey utca,5. kerület
5. kerület Reáltanoda utca 9.,5. kerület
5. kerület Bajcsy-Zsilinszky út 40.,5. kerület
11. kerület Fehérló utca 15.,11. kerület
7. kerület Nefelejcs utca 42.,7. kerület
2. kerület Bajvívó utca 8.,2. kerület
6. kerület Ó utca 6.,6. kerület
Dunakeszi Cseresznyés utca,Dunakeszi
6. kerület Podmaniczky utca 2.,6. kerület
11. kerület Kanizsai utca 13.,11. kerület
Budaörs Patkó utca,Budaörs
7. kerület Károly körút 9.,7. kerület
Nagykovácsi Nagykovácsi út 10.,Nagykovácsi
3. kerület Silvanus sétány,3. kerület
2. kerület Kelemen László utca 15.,2. kerület
Gödöllő Munkácsy Mihály út,Gödöllő
7. kerület Dob utca 53.,7. kerület
13. kerület Szent László út 14.,13. kerület
22. kerület Ják utca,22. kerület
5. kerület Magyar utca,5. kerület
5. kerület Kossuth Lajos utca 17.,5. kerület
14. kerület Bolgárkertész utca,14. kerület
14. kerület Bánki Donát utca 24.,14. kerület
4. kerület Vécsey Károly utca 118/B,4. kerület
12. kerület Tamási Áron utca 54.,12. kerület
