,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"Pécs, Polgárszőlő u., 7636 Hungary",ChIJ1WV2ObqzQkcRNLVkHJKL6p8,"Pécs Polgárszőlő utca,Hungary",46.0310606,18.2208878,1,7636,OK,route
1,APPROXIMATE,"Veszprém, Cholnokyváros, 8200 Hungary",ChIJB07T2XmaaUcRQOReLLomFYU,"Veszprém Cholnokyváros,Hungary",47.09025690000001,17.925778,1,8200,OK,"political,sublocality,sublocality_level_1"
2,GEOMETRIC_CENTER,"Szeged, József Attila sgrt., Hungary",ChIJneC-zhqIREcR9BdvpyLWKSU,"Szeged József Attila sugárút,Hungary",46.2663372,20.1581893,1,,OK,route
3,GEOMETRIC_CENTER,"Hódmezővásárhely, Zsoldos u., 6800 Hungary",ChIJuRIpk51vREcRdUz0Y9hx2EY,"Hódmezővásárhely Zsoldos utca,Hungary",46.4194519,20.3157767,1,6800,OK,route
4,APPROXIMATE,"Székesfehérvár, Hungary",ChIJ33hKdpP3aUcR8BEeDCnEAAQ,"Székesfehérvár Park Város,Hungary",47.18602620000001,18.4221358,1,,OK,"locality,political"
5,ROOFTOP,"Szeged, Mikszáth Kálmán u. 12, 6722 Hungary",ChIJdyiogHOIREcRJkNQMgXUbv0,"Szeged Mikszáth Kálmán utca 12.,Hungary",46.254774,20.144666,1,6722,OK,street_address
6,GEOMETRIC_CENTER,"Budapest, Béke tér, Hungary",ChIJB_PfG5TbQUcRJpwR5tYDnUI,"13. kerület Béke tér,Hungary",47.5305293,19.0803761,1,,OK,route
7,APPROXIMATE,"Pákozd, 8095 Hungary",ChIJN-6nF2ECakcRcD0eDCnEAAQ,"Pákozd Belsőhegy,Hungary",47.2203154,18.5427993,2,8095,OK,"locality,political"
8,GEOMETRIC_CENTER,"Szeged, Pentelei sor, 6723 Hungary",ChIJkXZs-RyIREcRyAlN227B_6I,"Szeged Pentelei sor,Hungary",46.2699436,20.1669589,1,6723,OK,route
9,ROOFTOP,"Szeged, Kereszttöltés u. 33, 6723 Hungary",ChIJiSDkZBmIREcRe5H-nb-26jQ,"Szeged Felsőváros,Hungary",46.266361,20.168471,1,6723,OK,"establishment,point_of_interest"
10,GEOMETRIC_CENTER,"Pécs, Melinda u., 7632 Hungary",ChIJDReuzcyzQkcRLpbdMbfmK7Q,"Pécs Melinda utca,Hungary",46.0450665,18.2138838,1,7632,OK,route
11,GEOMETRIC_CENTER,"Sopron, Vendel Miklós utca, 9400 Hungary",ChIJ-7_pApU8bEcRWtUFbOAiR5Q,"Sopron Vendel Miklós utca,Hungary",47.6895141,16.6119813,1,9400,OK,route
12,ROOFTOP,"Budapest, Terv u. 8, 1223 Hungary",ChIJf_uxtgTnQUcRnSzuy3grNXE,"22. kerület Terv utca 8.,Hungary",47.4113,19.005952,1,1223,OK,street_address
13,ROOFTOP,"Szántód, Móricz Zsigmond u. 2, 8622 Hungary",ChIJ30gNBX-5aUcRxJ7nmyDeULk,"Szántód Móricz Zsigmond utca 2.,Hungary",46.865069,17.903265,1,8622,OK,street_address
14,GEOMETRIC_CENTER,"Eger, Rózsa Károly u., 3300 Hungary",ChIJ6VKDfJ-NQEcRA0-FIGHAHHQ,"Eger Rózsa Károly utca,Hungary",47.902055,20.3666893,1,3300,OK,route
15,GEOMETRIC_CENTER,"Budapest, Meggyfa u., Hungary",ChIJOZMJD2_ZQUcRZ9TcLeDfChM,"3. kerület Meggyfa utca,Hungary",47.549145,19.0389211,1,,OK,route
16,GEOMETRIC_CENTER,"Budapest, Németh László utca, 1068 Hungary",ChIJfRNoYXDcQUcRALeEjQ8Rqow,"6. kerület Németh László utca,Hungary",47.5079075,19.0707063,1,1068,OK,route
17,GEOMETRIC_CENTER,"Dunaújváros, Szórád Márton út, 2400 Hungary",ChIJM912wHoXQkcRBKoGrA4Uxnc,"Dunaújváros Szórád Márton út,Hungary",46.9637559,18.9338791,1,2400,OK,route
18,GEOMETRIC_CENTER,"Dunaújváros, Bercsényi Miklós u., 2400 Hungary",ChIJL-2jWWQXQkcR75jmEH-pfrs,"Dunaújváros Bercsényi Miklós utca,Hungary",46.966797,18.9301154,1,2400,OK,route
19,GEOMETRIC_CENTER,"Miskolc, Győri kapu, Hungary",ChIJHezTbM-fQEcRwvJGiQ04odg,"Miskolc Győri kapu,Hungary",48.1035288,20.750202,1,,OK,route
20,APPROXIMATE,"Győr, Révfalu, 9026 Hungary",ChIJSaoW2Nu_a0cRdtPJs4NlQ2Q,"Győr Révfalu,Hungary",47.6990759,17.63572,1,9026,OK,"political,sublocality,sublocality_level_1"
21,ROOFTOP,"Budapest, Ó u. 29, 1066 Hungary",ChIJLW0t9WzcQUcRBfIsoziWwNA,"6. kerület Ó utca 29.,Hungary",47.5042366,19.0585332,1,1066,OK,street_address
22,GEOMETRIC_CENTER,"Szeged, Szeged-Rókus, 6724 Hungary",ChIJQasQuu6HREcRTLCSmwnGTxw,"Szeged Rókus,Hungary",46.2661111,20.1252778,1,6724,OK,"establishment,point_of_interest,train_station,transit_station"
23,GEOMETRIC_CENTER,"Veszprém, Ördögárok u., 8200 Hungary",ChIJew3eZW2aaUcR_NArW7K4Vvg,"Veszprém Ördögárok utca,Hungary",47.0841134,17.9116811,1,8200,OK,route
24,APPROXIMATE,"Veszprém, Bakonyalja, 8200 Hungary",ChIJ0bBcTeuaaUcRRkjU7GDtA6g,"Veszprém Bakonyalja,Hungary",47.1170179,17.918815,1,8200,OK,"political,sublocality,sublocality_level_1"
25,GEOMETRIC_CENTER,"Veszprém, Cserhát u., 8200 Hungary",ChIJ2RRghGaaaUcRKK9kL2g4xI0,"Veszprém Cserhát utca,Hungary",47.0955484,17.91135,1,8200,OK,route
26,ROOFTOP,"Budapest, Ilka u. 26, 1143 Hungary",ChIJyYRWp4PcQUcRnSqgNdD0YRw,"14. kerület Ilka utca 26.,Hungary",47.5078543,19.0982433,1,1143,OK,street_address
27,GEOMETRIC_CENTER,"Győr, Lukács Sándor u., 9022 Hungary",ChIJfSvP0ei_a0cRD89mzEdfI5c,"Győr Lukács Sándor utca,Hungary",47.6870596,17.6381655,1,9022,OK,route
28,GEOMETRIC_CENTER,"Miskolc, Kuruc u., 3535 Hungary",ChIJzQH58W2eQEcReL0oXHuV_n4,"Miskolc Kuruc utca,Hungary",48.103368,20.6896254,1,3535,OK,route
29,APPROXIMATE,"Budapest, District III., Hungary",ChIJ8bbHFKbZQUcRYNUeDCnEAAU,"3. kerület Óbuda,Hungary",47.5671768,19.0368517,1,,OK,"political,sublocality,sublocality_level_1"
30,RANGE_INTERPOLATED,"Biatorbágy, Ohmüllner Márton stny. 46, 2051 Hungary",EjZCaWF0b3Jiw6FneSwgT2htw7xsbG5lciBNw6FydG9uIHN0bnkuIDQ2LCAyMDUxIEh1bmdhcnkiGhIYChQKEgndBQ6HNAtqRxGQWwJpSDycIBAu,"Biatorbágy Ohmüllner Márton sétány 46.,Hungary",47.4775444,18.80594,1,2051,OK,street_address
31,APPROXIMATE,"Budapest, Magasút, 1121 Hungary",ChIJX_SlQGbeQUcRpy8br3GDDi8,"12. kerület Magasút,Hungary",47.4806134,18.9886039,1,1121,OK,"neighborhood,political"
