Address,Settlement
2. kerület Rhédey utca,2. kerület
15. kerület Bánkút utca,15. kerület
Dunaújváros Dózsa György út,Dunaújváros
Törökbálint Munkácsy Mihály utca,Törökbálint
Dombóvár Belváros,Dombóvár
Nyíregyháza Kölcsey Ferenc utca,Nyíregyháza
Tapolca Deák Ferenc utca,Tapolca
15. kerület Neptun utca,15. kerület
Sopron Szent Mihály utca,Sopron
Székesfehérvár Rádió lakótelep,Székesfehérvár
Szeged Hüvelyk utca,Szeged
Várpalota Körmöcbánya utca,Várpalota
Gyöngyös Mérges utca,Gyöngyös
Szentendre Egres út,Szentendre
Marcali Somogy megye,Marcali
Eger Cifrakapu utca,Eger
Pécs Patacs,Pécs
Bátonyterenye Nagybátony,Bátonyterenye
10. kerület Martinovics tér 7.,10. kerület
6. kerület Bajcsy-Zsilinszky köz,6. kerület
3. kerület Gyűrű utca,3. kerület
Győr Török István utca,Győr
Salgótarján Zagyvapálfalva,Salgótarján
Szolnok Hild Viktor utca,Szolnok
15. kerület Népfelkelő utca,15. kerület
8. kerület Kálvin tér,8. kerület
Pécs Papnövelde köz,Pécs
Solymár Anna-kápolna környéke,Solymár
Kaposvár Kaposhegy,Kaposvár
16. kerület Sashalom,16. kerület
16. kerület Cinkota – Ilonatelep,16. kerület
Szentendre Lászlótelep,Szentendre
Balatonboglár Somogy megye,Balatonboglár
Orosháza Kossuth Lajos utca 14.,Orosháza
Bugyi Pest megye,Bugyi
Balatonvilágos Somogy megye,Balatonvilágos
Balatonszemes Somogy megye,Balatonszemes
Nyíregyháza Hímes utca,Nyíregyháza
23. kerület Soroksár – Orbánhegy,23. kerület
Solymár Szélhegy,Solymár
Nyíregyháza Őz köz,Nyíregyháza
Szeged Szent György tér,Szeged
20. kerület Jókai Mór utca,20. kerület
Pécs Bálicsi út,Pécs
Siófok Szabadifürdő,Siófok
Nyíregyháza Deák Ferenc utca,Nyíregyháza
Pécs Polgárszőlő utca 15.,Pécs
