,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,GEOMETRIC_CENTER,"Budapest, Szegedi út, Hungary",,"13. kerület Szegedi út,Hungary",47.5289831,19.0823481,1,,OK,route
1,,,,"13. kerület Corner 21,Hungary",,,0,,ZERO_RESULTS,
2,ROOFTOP,"Balatonlelle, Köztársaság u. 11, 8638 Hungary",ChIJExnPJm-uaUcRJEnsLMEx4dI,"Balatonlelle Lelle Resort,Hungary",46.7888138,17.6985404,1,8638,OK,"establishment,lodging,point_of_interest"
3,,,,"6. kerület Belső-Terézváros,Hungary",,,0,,ZERO_RESULTS,
4,APPROXIMATE,"Győr, Sziget, 9025 Hungary",ChIJ_QKct1iVa0cRNnbbOfEezU0,"Győr Sziget,Hungary",47.6889389,17.620282,1,9025,OK,"political,sublocality,sublocality_level_1"
5,,,,"13. kerület Corner 21,Hungary",,,0,,ZERO_RESULTS,
6,ROOFTOP,"Budapest, Úszódaru u. 10, 1138 Hungary",ChIJ4aoeotrbQUcRTKiVT_r9elc,"13. kerület Duna Terasz Premium,Hungary",47.54678579999999,19.0678776,1,1138,OK,"establishment,point_of_interest,real_estate_agency"
7,ROOFTOP,"Budapest, Alíz utca 6, 1116 Hungary",ChIJjexonZ_dQUcR0ZgGOy_bD7s,"11. kerület Budai Bolero II,Hungary",47.458082,19.048978,1,1116,OK,"establishment,general_contractor,point_of_interest"
8,APPROXIMATE,"Budapest, Pasarét, Hungary",ChIJJ63rO8_eQUcRfWrDh5at578,"2. kerület Pasarét,Hungary",47.5188316,18.9992736,1,,OK,"neighborhood,political"
9,,,,"11. kerület Tetris Ház 1.ütem,Hungary",,,0,,ZERO_RESULTS,
10,GEOMETRIC_CENTER,"Budapest, Szegedi út, Hungary",,"13. kerület Szegedi út,Hungary",47.5289831,19.0823481,1,,OK,route
11,GEOMETRIC_CENTER,"Budapest, Rézsű u., 1029 Hungary",ChIJ69ToOKbYQUcRMkBlc8zlxEM,"2. kerület Rézsű utca,Hungary",47.5492968,18.9429476,1,1029,OK,route
12,ROOFTOP,"Budapest, Alíz utca 6, 1116 Hungary",ChIJjexonZ_dQUcR0ZgGOy_bD7s,"11. kerület Budai Bolero II,Hungary",47.458082,19.048978,1,1116,OK,"establishment,general_contractor,point_of_interest"
13,GEOMETRIC_CENTER,"Budapest, Kartács u., 1139 Hungary",,"13. kerület Kartács Park,Hungary",47.5285029,19.0763412,1,1139,OK,route
14,GEOMETRIC_CENTER,"Budapest, Sas u., 1051 Hungary",ChIJRdtCLxXcQUcRuolT0lgugJE,"5. kerület Sas utca,Hungary",47.5007607,19.0520163,1,1051,OK,route
15,GEOMETRIC_CENTER,"Budapest, Kartács u., 1139 Hungary",,"13. kerület Kartács Park,Hungary",47.5285029,19.0763412,1,1139,OK,route
16,,,,"13. kerület Béke Liget,Hungary",,,0,,ZERO_RESULTS,
17,GEOMETRIC_CENTER,"Budapest, Szegedi út, Hungary",,"13. kerület Szegedi út,Hungary",47.5289831,19.0823481,1,,OK,route
