,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,ROOFTOP,"Budapest, Rozsnyay utca 20, 1139 Hungary",ChIJ94CLz8DbQUcRoHAXSVXHyDs,"13. kerület Rozsnyai utca 20.,Hungary",47.5393707,19.0797011,1,1139,OK,street_address
1,GEOMETRIC_CENTER,"Budapest, Pázsit u., 1026 Hungary",,"2. kerület Pázsit utca,Hungary",47.5168639,19.0015452,1,1026,OK,route
2,ROOFTOP,"Budaörs, Mező u. 10, 2040 Hungary",ChIJuUzhzxjeQUcRESS1l1ZWlBw,"Budaörs Mező utca 10.,Hungary",47.4582442,18.9659168,1,2040,OK,street_address
3,GEOMETRIC_CENTER,"Budapest, Zamárdi u., 1203 Hungary",ChIJkbjX71TdQUcRfij9p4vnCDg,"20. kerület Zamárdi utca,Hungary",47.43436080000001,19.0930517,1,1203,OK,route
4,GEOMETRIC_CENTER,"Budapest, Kánai út, 1112 Hungary",ChIJHyAz11fnQUcRfAXT9Q8UHi0,"11. kerület Kánai út,Hungary",47.4463594,18.997484,1,1112,OK,route
5,GEOMETRIC_CENTER,"Budapest, Alagút u., 1013 Hungary",ChIJOX-FoCTcQUcRfVov1pfACpw,"1. kerület Alagút utca,Hungary",47.4970066,19.0336644,1,1013,OK,route
6,GEOMETRIC_CENTER,"Budapest, Jeszenák János u., 1141 Hungary",ChIJPz3m_ETbQUcR3YY1zUUlAVQ,"14. kerület Jeszenák János utca,Hungary",47.51773670000001,19.1347634,1,1141,OK,route
7,GEOMETRIC_CENTER,"Budapest, Kléh István u., 1126 Hungary",ChIJk6SlkyjcQUcRG40LKAg1ISQ,"12. kerület Kléh István utca,Hungary",47.4926816,19.0223755,1,1126,OK,route
8,ROOFTOP,"Budapest, Hold u. 8, 1054 Hungary",ChIJjeBHdRPcQUcRq0YXlTibO9s,"5. kerület Hold utca 8.,Hungary",47.505269,19.0520884,1,1054,OK,street_address
9,ROOFTOP,"Budapest, Váci út 10, 1132 Hungary",ChIJM7GTYgzcQUcRAKGam6WhbDI,"13. kerület Váci út 10.,Hungary",47.5126307,19.0569774,1,1132,OK,street_address
10,GEOMETRIC_CENTER,"Dunakeszi, Fóti út, 2120 Hungary",ChIJD4qnQ_3QQUcR5SwBWIhhhBE,"Dunakeszi Fóti út,Hungary",47.6240339,19.1570582,1,2120,OK,route
11,ROOFTOP,"Budapest, Orló u. 11D-15D, 1026 Hungary",ChIJrRuyKsjeQUcRS2z0DOZEImI,"2. kerület Orló utca 11.,Hungary",47.519536,19.006184,1,1026,OK,street_address
12,GEOMETRIC_CENTER,"Budapest, Kapy u., 1025 Hungary",ChIJJUGdP83eQUcRmuseMoibyV4,"2. kerület Kapy utca,Hungary",47.5284725,18.998787,1,1025,OK,route
